emp_number,surname,user_name,gender,city,job_title,department_name,store_location,division,age,lengthservice,absenthours,business_unit
197,Mott,Daniel,M,Yale,Baker,Bakery,Chilliwack,Stores,59,3,109.25,Stores
198,Fernandez,Michael,M,Aiyansh,Baker,Bakery,Terrace,Stores,36,4,12.58,Stores
199,Burton,Norman,M,Richmond,Baker,Bakery,Richmond,Stores,51,4,34.07,Stores
200,Forrest,Tamara,F,Penticton,Baker,Bakery,Kelowna,Stores,57,6,154.81,Stores
201,Britt,Robert,M,Richmond,Baker,Bakery,Richmond,Stores,53,5,90.29,Stores
202,Bennett,Jimmy,M,Victoria,Baker,Bakery,Victoria,Stores,52,4,113.07,Stores
203,Watkins,Caitlin,F,Haney,Baker,Bakery,Haney,Stores,52,4,106.57,Stores
204,Wann,Amy,F,New Westminster,Baker,Bakery,New Westminster,Stores,35,6,12.10,Stores
205,Roberson,Dennis,M,Kamloops,Baker,Bakery,Kamloops,Stores,53,4,84.32,Stores
206,Moore,Francis,M,Surrey,Baker,Bakery,Surrey,Stores,44,5,66.35,Stores
207,Johnson,Philip,M,Richmond,Baker,Bakery,Richmond,Stores,41,5,0.00,Stores
208,Parker,Karen,F,Nelson,Baker,Bakery,Nelson,Stores,19,4,0.00,Stores
209,Skipper,Maria,F,Bowen Island,Auditor,Audit,Vancouver,FinanceAndAccounting,58,19,72.92,HeadOffice
210,Klein,Jennifer,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,53,35,0.00,HeadOffice
211,Vaughn,Robert,M,Fort Langley,Baker,Bakery,Langley,Stores,33,5,0.00,Stores
212,Anthony,Juan,M,Clinton,Baker,Bakery,Kamloops,Stores,36,5,33.53,Stores
213,Lavalley,Glen,M,Prince George,Baker,Bakery,Prince George,Stores,45,5,61.73,Stores
214,Bryant,Minerva,F,Cassiar,Baker,Bakery,Terrace,Stores,13,3,0.00,Stores
215,Elmore,Alfred,M,Victoria,Baker,Bakery,Victoria,Stores,54,4,111.05,Stores
216,Johnson,Billy,M,Surrey,Baker,Bakery,Surrey,Stores,60,2,174.68,Stores
217,Ceaser,Mary,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,37,19,46.77,HeadOffice
218,Collier,Steven,M,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,45,11,41.62,HeadOffice
219,Aaron,Michael,M,Victoria,Baker,Bakery,Victoria,Stores,44,6,95.42,Stores
220,Moultrie,Kevin,M,Victoria,Baker,Bakery,Victoria,Stores,45,5,22.49,Stores
221,Witt,Melissa,F,Kelowna,Baker,Bakery,Kelowna,Stores,37,6,59.39,Stores
222,Duvall,Gina,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,50,13,57.23,HeadOffice
223,Willard,Jeffrey,M,Surrey,Baker,Bakery,Surrey,Stores,43,2,45.14,Stores
224,Jacobs,Thomas,M,Victoria,Baker,Bakery,Victoria,Stores,35,6,50.52,Stores
225,Lopes,Larry,M,Pender Harbour,Baker,Bakery,Victoria,Stores,45,5,62.15,Stores
226,Wolfram,Betty,F,New Westminster,Baker,Bakery,New Westminster,Stores,40,7,16.06,Stores
227,Dunn,Heather,F,Kamloops,Baker,Bakery,Kamloops,Stores,48,2,85.38,Stores
228,Kroon,Brent,M,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,44,26,0.00,HeadOffice
229,Finke,Michael,M,Victoria,Baker,Bakery,Victoria,Stores,42,4,39.68,Stores
230,Hulett,Florence,F,Parksville,Baker,Bakery,Nanaimo,Stores,44,6,57.19,Stores
231,Ponce,Melanie,F,Kamloops,Baker,Bakery,Kamloops,Stores,37,7,38.10,Stores
232,Ellis,Jeri,F,Quesnel,Baker,Bakery,Quesnel,Stores,42,4,118.59,Stores
233,Cox,Conrad,M,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,39,15,28.90,HeadOffice
234,Smith,Raymond,M,New Westminster,Baker,Bakery,New Westminster,Stores,43,6,73.40,Stores
235,Banks,Ryan,M,New Westminster,Baker,Bakery,New Westminster,Stores,48,5,86.86,Stores
236,Kendall,Bernadette,F,Richmond,Baker,Bakery,Richmond,Stores,45,6,106.77,Stores
237,Fernandez,Brian,M,West Vancouver,Baker,Bakery,West Vancouver,Stores,35,6,0.00,Stores
238,Labrie,Vicky,F,Mcleese Lake,Baker,Bakery,Williams Lake,Stores,52,5,107.83,Stores
239,Ash,Christopher,M,Surrey,Baker,Bakery,Surrey,Stores,43,3,10.68,Stores
240,Salisbury,Susan,F,Fort St John,Baker,Bakery,Fort St John,Stores,38,2,32.00,Stores
241,Healy,Ann,F,Campbell River,Baker,Bakery,Nanaimo,Stores,51,7,131.02,Stores
242,Blake,Edward,M,West Vancouver,Baker,Bakery,West Vancouver,Stores,54,6,123.56,Stores
243,Vega,Yoshiko,F,Wells,Baker,Bakery,Kamloops,Stores,29,2,21.04,Stores
244,Hamlin,Francis,F,New Westminister,Baker,Bakery,New Westminister,Stores,56,5,173.84,Stores
245,Adams,Andre,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,43,8,20.94,Stores
246,Carruth,Mary,F,Manning Park,Baker,Bakery,Chilliwack,Stores,38,3,47.54,Stores
247,Turner,Robert,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,38,5,30.82,Stores
248,Norris,Kristin,F,Decker Lake,Baker,Bakery,Prince George,Stores,36,7,27.60,Stores
249,Wiley,Mary,F,Salmon Arm,Baker,Bakery,Kamloops,Stores,55,6,152.12,Stores
250,Francis,Jocelyn,F,Victoria,Baker,Bakery,Victoria,Stores,45,5,39.58,Stores
251,Goff,Phillip,M,Burnaby,Baker,Bakery,Burnaby,Stores,56,7,174.86,Stores
252,Reese,Amanda,F,Prince George,Baker,Bakery,Prince George,Stores,34,2,4.01,Stores
253,Keating,David,M,Sooke,Baker,Bakery,Victoria,Stores,36,4,65.58,Stores
254,McLaren,Francis,M,Vernon,Baker,Bakery,Vernon,Stores,31,4,0.00,Stores
255,Colucci,Evelyn,F,Prince George,Baker,Bakery,Prince George,Stores,36,4,44.50,Stores
256,Wilson,Beverly,F,Horsefly,Baker,Bakery,Prince George,Stores,31,5,0.00,Stores
257,Thomas,Ramon,M,Invermere,Baker,Bakery,Cranbrook,Stores,45,4,91.35,Stores
258,Barnard,Georgia,F,Creston,Baker,Bakery,Cranbrook,Stores,38,7,59.96,Stores
259,Perez,Erin,F,New Westminster,Baker,Bakery,New Westminster,Stores,38,5,28.54,Stores
260,Lindo,Susan,F,Topley,Baker,Bakery,Prince George,Stores,55,3,112.61,Stores
261,Furman,David,M,Aldergrove,Baker,Bakery,Aldergrove,Stores,53,5,84.61,Stores
262,Neill,Kelly,M,Vancouver,Bakery Manager,Bakery,Vancouver,Stores,33,6,20.53,Stores
